customerId,countryId,email,isActive,accountCreationTime
1,3,milaiamilaia@onlinecmail.com,true,2021-04-15
2,8,ewewwegvw@cudimex.com,true,2021-03-10
3,5,omfanati@hasevo.com,true,2022-05-06
4,3,945254289@aenikaufa.com,true,2021-10-06
5,9,tharon@roptaoti.com,true,2021-11-19
6,4,gorgoik@crpotu.com,true,2022-05-04
7,3,thetaxi51@bachelors.ml,true,2021-03-23
8,1,nhlanhlazwane@crpotu.com,true,2020-06-06
9,10,serra1974@vietkevin.com,false,2021-03-30
10,9,vfs72957@piftir.com,true,2021-08-23
11,5,anjutkasmile@tigo.tk,true,2020-05-05
12,7,saint22@crpotu.com,true,2021-09-15
13,9,gdam78@nieise.com,false,2021-01-27
14,3,kasey52@termakan.com,true,2020-12-27
15,6,budmangt2@bachelors.ml,true,2020-09-09
16,1,icomcentr@smulevip.com,true,2020-10-03
17,1,vacant01@termakan.com,false,2021-09-10
18,2,picmirzinaekaterina@hasevo.com,true,2020-12-22
19,6,alexcarrillo@manghinsu.com,true,2021-10-13
20,1,jwfguy@btcmod.com,true,2022-04-30
21,3,dank33@manghinsu.com,true,2020-05-14
22,2,dsdvst8@healthsoulger.com,true,2020-07-18
23,1,ayash@myxl.live,true,2021-12-14
24,10,ackkfighting@alfacontabilidadebrasil.com,true,2020-04-19
25,4,sashalabutin@alfacontabilidadebrasil.com,false,2022-03-23
26,2,kahuna69@mexcool.com,true,2021-02-24
27,3,soitehota@ieahhwt.com,true,2020-06-12
28,5,kuzminoleg67@vietkevin.com,false,2022-05-10
29,3,lkt82@astrolo.ga,false,2020-12-05
30,5,vinogradovsg@pickuplanet.com,true,2021-11-29
